,school,no_of_applicants,accept_rate,sat_25th_perc,sat_75th_perc,sat_median,sat_median_pct,act_25th_perc,act_75th_perc,act_median,act_median_pct,applicants_accepted
240,Hofstra University,24425,0.685,1160.0,1340.0,1250.0,70.83,25.0,30.0,27.5,76.39,16731
241,Ithaca College,15278,0.685,1160.0,1338.0,1249.0,70.75,25.0,30.0,27.5,76.39,10465
242,California State University--San Bernardino,16307,0.6859999999999999,910.0,1090.0,1000.0,50.0,15.0,19.0,17.0,47.22,11186
243,University of South Carolina,31268,0.6859999999999999,1180.0,1370.0,1275.0,72.92,25.0,31.0,28.0,77.78,21449
244,Albion College,4043,0.688,990.0,1200.0,1095.0,57.92,21.0,27.0,24.0,66.67,2781
245,Presbyterian College (SC),2462,0.688,1010.0,1210.0,1110.0,59.17,19.0,25.0,22.0,61.11,1693
246,Texas Tech University,25384,0.6890000000000001,1070.0,1260.0,1165.0,63.75,22.0,27.0,24.5,68.06,17489
247,Ohio Wesleyan University,4705,0.69,1060.0,1295.0,1177.5,64.79,22.0,28.0,25.0,69.44,3246
248,Ripon College,2619,0.69,1000.0,1210.0,1105.0,58.75,20.0,27.0,23.5,65.28,1807
249,Drew University,3788,0.6920000000000001,1110.0,1310.0,1210.0,67.5,25.0,30.0,27.5,76.39,2621
250,Central Michigan,16411,0.695,990.0,1200.0,1095.0,57.92,20.0,26.0,23.0,63.89,11405
251,Oklahoma State University,15277,0.7,1040.0,1265.0,1152.5,62.71,21.0,28.0,24.5,68.06,10693
252,Bradley University,10708,0.7020000000000001,1070.0,1270.0,1170.0,64.17,22.0,28.0,25.0,69.44,7517
253,Seton Hall University,19260,0.7040000000000001,1150.0,1310.0,1230.0,69.17,24.0,28.0,26.0,72.22,13559
254,Biola University,4149,0.705,1080.0,1310.0,1195.0,66.25,21.0,28.0,24.5,68.06,2925
255,Ursinus College,3361,0.7090000000000001,1140.0,1320.0,1230.0,69.17,23.0,28.0,25.5,70.83,2382
256,Clarkson University,6885,0.711,1160.0,1350.0,1255.0,71.25,24.0,30.0,27.0,75.0,4895
257,Michigan State University,44322,0.711,1100.0,1320.0,1210.0,67.5,23.0,29.0,26.0,72.22,31512
258,Hollins University,3244,0.7120000000000001,1070.0,1300.0,1185.0,65.42,22.0,30.0,26.0,72.22,2309
259,Creighton University,10112,0.7140000000000001,1150.0,1350.0,1250.0,70.83,24.0,30.0,27.0,75.0,7219
260,California Lutheran University,5752,0.715,1070.0,1250.0,1160.0,63.33,21.0,26.0,23.5,65.28,4112
261,University of Mary Washington,5909,0.718,1050.0,1269.0,1159.5,63.29,22.0,29.0,25.5,70.83,4242
262,Christopher Newport University,7204,0.7190000000000001,1110.0,1280.0,1195.0,66.25,22.0,27.0,24.5,68.06,5179
263,University of California—Merced,25368,0.72,980.0,1180.0,1080.0,56.67,17.0,22.0,19.5,54.17,18264
264,Mercer University,5454,0.72,1180.0,1340.0,1260.0,71.67,25.0,30.0,27.5,76.39,3926
265,University of Dayton,17462,0.72,1120.0,1320.0,1220.0,68.33,23.0,29.0,26.0,72.22,12572
266,Lewis & Clark College,5863,0.722,1220.0,1400.0,1310.0,75.83,27.0,31.0,29.0,80.56,4233
267,Hendrix College,1545,0.722,1153.0,1390.0,1271.5,72.62,26.0,32.0,29.0,80.56,1115
268,University of Rhode Island,21259,0.723,1012.0,1345.0,1178.5,64.88,20.0,29.0,24.5,68.06,15370
269,California State University--Chico,25908,0.723,990.0,1180.0,1085.0,57.08,18.0,24.0,21.0,58.33,18731
270,Stetson University,13005,0.7240000000000001,1110.0,1300.0,1205.0,67.08,22.0,29.0,25.5,70.83,9415
271,Quinnipiac University,22753,0.725,1090.0,1260.0,1175.0,64.58,23.0,28.0,25.5,70.83,16495
272,Duquesne University,7411,0.725,1130.0,1300.0,1215.0,67.92,23.0,28.0,25.5,70.83,5372
273,University of Illinois—​Chicago,22696,0.727,1030.0,1260.0,1145.0,62.08,21.0,28.0,24.5,68.06,16499
274,University of Akron,14553,0.73,990.0,1230.0,1110.0,59.17,19.0,25.0,22.0,61.11,10623
275,St. John's University (NY),27276,0.731,1070.0,1270.0,1170.0,64.17,23.0,29.0,26.0,72.22,19938
276,University of Cincinnati,23296,0.731,1160.0,1370.0,1265.0,72.08,24.0,29.0,26.5,73.61,17029
277,Simmons University,2933,0.731,1110.0,1290.0,1200.0,66.67,23.0,29.0,26.0,72.22,2144
278,Wayne State University,15716,0.731,1010.0,1230.0,1120.0,60.0,21.0,27.0,24.0,66.67,11488
279,Butler University,14891,0.732,1150.0,1330.0,1240.0,70.0,24.0,30.0,27.0,75.0,10900
280,Point Loma Nazarene University,3277,0.737,1140.0,1310.0,1225.0,68.75,24.0,29.0,26.5,73.61,2415
281,University of North Texas,21540,0.737,1060.0,1250.0,1155.0,62.92,20.0,26.0,23.0,63.89,15874
282,University of North Georgia,6498,0.737,1108.0,1273.0,1190.5,65.88,22.0,27.0,24.5,68.06,4789
283,Xavier University,15100,0.738,1070.0,1250.0,1160.0,63.33,22.0,28.0,25.0,69.44,11143
284,Wheaton College (MA),3460,0.7390000000000001,1150.0,1340.0,1245.0,70.42,27.0,32.0,29.5,81.94,2556
285,Eastern Michigan,14323,0.741,970.0,1190.0,1080.0,56.67,19.0,25.0,22.0,61.11,10613
